year;abortions;r_counseling;r_medical;r_criminological;f_single;f_married;f_widowed;f_divorced;a_<15;a_15-<18;a_18-<25;a_25-<30;a_30-<35;a_35-<40;a_40-<45;a_45+;live_births;women;p_prev_none;p_prev_1;p_prev_2;p_prev_3;p_prev_4;p_prev_5+;still_births
2002;130387;127079;3271;37;62476;60158;472;7281;761;6682;39189;26550;27068;21405;8045;687;719250;42171879;51941;33147;31302;9992;2725;1280;2700
2003;128030;124583;3421;26;62785;57901;470;6874;715;6930;38895;26299;25259;20869;8307;756;706721;42170976;51728;33405;29652;9625;2435;1185;2699
2004;129650;126313;3308;29;65340;56864;505;6941;779;7075;40809;26722;24213;20994;8393;665;705622;42151183;52334;34030;30330;9434;2382;1140;2728
2005;124023;120825;3177;21;63110;54257;409;6247;659;6588;38377;26534;22790;19978;8419;678;685795;42115358;50357;32657;28629;8911;2394;1075;2487
2006;119710;116636;3046;28;61919;51119;382;6290;542;6048;37037;26530;21580;19106;8211;656;672724;42048003;48760;31055;27726;8776;2344;1049;2420
2007;116871;113774;3072;25;61826;48786;296;5963;494;5681;36541;26413;20801;18132;8133;676;684862;41974819;47943;30342;26519;8730;2298;1039;2371
2008;114484;111474;2989;21;61359;47147;295;5683;475;4872;36218;25938;20915;17259;8102;705;682514;41881181;46683;29961;25798;8626;2322;1094;2412
2009;110694;107480;3200;14;60632;44661;259;5142;399;4510;34801;25303;21060;16174;7819;628;665126;41741500;44703;28864;25191;8429;2373;1134;2338
2010;110431;107330;3077;24;61385;43588;252;5206;440;4044;34589;25425;21438;15965;7825;705;677947;41657600;44525;28429;25082;8792;2438;1165;2466
2011;108867;105357;3485;25;61654;42153;207;4853;374;3652;33941;25152;21886;15655;7511;696;662685;41097709;43937;28126;24724;8508;2437;1135;2387
2012;106815;103462;3326;27;60993;40742;222;4858;373;3462;32279;24888;22199;15469;7440;705;673544;41120362;42616;27914;24387;8355;2409;1134;2400
2013;102802;99079;3703;20;58810;39355;213;4424;322;3297;29692;24407;21785;15452;7137;710;682069;41176655;40506;26718;23711;8260;2431;1176;2556
2014;99715;96080;3594;41;57584;37628;195;4308;369;3191;27007;24030;21706;15838;6822;752;714927;41286310;39261;25316;23159;8310;2509;1160;2597
2015;99237;95338;3879;20;57234;37659;228;4116;337;2970;25892;24323;21835;16368;6787;725;737575;41511821;38793;24869;23111;8533;2597;1334;2787
2016;98721;94908;3785;28;56069;38529;214;3909;330;2750;24782;24365;22341;16790;6673;690;792141;41743048;38506;24259;22863;8895;2724;1474;2914
2017;101209;97278;3911;20;57294;39669;188;4058;280;2729;24846;24859;23127;17643;7018;707;784901;41886661;39627;24036;24069;8995;2906;1576;3003
2018;100986;97151;3815;20;58366;38712;174;3734;240;2506;24784;24361;23773;17652;7025;645;787523;42000654;40417;23051;24005;9023;2955;1535;3030
2019;100893;97001;3875;17;58070;38727;198;3898;294;2392;24453;23511;24043;18134;7444;622;778090;42090810;40537;22510;24124;9229;2929;1564;3180
2020;99948;96110;3809;29;57814;38286;182;3666;264;2430;23575;22593;24370;18655;7411;650;773144;42128805;40663;22001;23700;9279;2804;1501;3162
2021;94596;90643;3903;50;55059;35961;182;3394;259;2183;21944;21154;23187;17973;7300;596;795492;42149426;38686;20542;22254;8772;2896;1446;3420
