city_name;postal_code;area_sqm;population;category
Berlin;10178;891.12;3677472;largerthan
Hamburg;20038;755.09;1853935;largerthan
München;80313;310.7;1487708;largerthan
Köln;50667;405.01;1073096;1mio
Frankfurt am Main;60311;248.31;759224;atleast
Stuttgart;70173;207.33;626275;atleast
Düsseldorf;40213;217.41;619477;atleast
Leipzig;4109;297.8;601866;atleast
Dortmund;44135;280.71;586852;atleast
Essen;45121;210.34;579432;atleast
Bremen;28195;317.84;563290;atleast
Dresden;1067;328.49;555351;atleast
Hannover;30159;204.3;535932;atleast
Nürnberg;90403;186.44;510632;atleast
Duisburg;47051;232.79;495152;atleast
Bochum;44787;145.66;363441;atleast
Wuppertal;42275;168.39;354572;atleast
Bielefeld;33602;258.83;334002;atleast
Bonn;53111;141.06;331885;atleast
Münster;48143;303.28;317713;atleast
Mannheim;68159;144.97;311831;atleast
Karlsruhe;76133;173.42;306502;atleast
Augsburg;86150;146.85;296478;atleast
Wiesbaden;65183;203.87;278950;atleast
Mönchengladbach;41061;170.47;261001;atleast
Gelsenkirchen;45879;104.94;260126;atleast
Aachen;52058;160.85;249070;atleast
Braunschweig;38100;192.7;248823;atleast
Kiel;24103;118.65;246243;atleast
Chemnitz;9111;221.03;243105;atleast
Halle (Saale);6108;135.01;238061;atleast
Magdeburg;39104;201.03;236188;atleast
Freiburg im Breisgau;79098;153.04;231848;atleast
Krefeld;47798;137.78;227050;atleast
Mainz;55116;97.73;217556;atleast
Lübeck;23539;214.19;216277;atleast
Erfurt;99084;269.91;213227;atleast
Oberhausen;46045;77.09;208752;atleast
Rostock;18055;181.36;208400;atleast
Kassel;34117;106.79;200406;atleast
Hagen;58095;160.45;188713;atleast
Potsdam;14469;188.24;183154;atleast
Saarbrücken;66111;167.52;179634;atleast
Hamm;59065;226.42;179238;atleast
Ludwigshafen am Rhein;67059;77.43;172145;atleast
Mülheim an der Ruhr;45468;91.28;170739;atleast
Oldenburg (Oldenburg);26105;103.09;170389;atleast
Osnabrück;49074;119.8;165034;atleast
Leverkusen;51373;78.87;163851;atleast
Darmstadt;64283;122.07;159631;atleast
Heidelberg;69117;108.83;159245;atleast
Solingen;42651;89.54;158957;atleast
Herne;44623;51.42;156621;atleast
Regensburg;93019;80.86;153542;atleast
Neuss;41460;99.52;152731;atleast
Paderborn;33104;179.59;152531;atleast
Ingolstadt;85049;133.35;138016;atleast
Offenbach am Main;63065;44.88;131295;atleast
Fürth;90744;63.35;129122;atleast
Ulm;89073;118.68;126949;atleast
Würzburg;97070;87.6;126933;atleast
Heilbronn;74072;99.89;125613;atleast
Pforzheim;75175;97.99;125529;atleast
Wolfsburg;38440;204.62;123949;atleast
Bottrop;46236;100.62;117311;atleast
Göttingen;37083;117.02;116557;atleast
Reutlingen;72764;87.04;116456;atleast
Koblenz;56068;105.25;113638;atleast
Erlangen;91051;76.96;113292;atleast
Bremerhaven;27576;101.53;113173;atleast
Remscheid;42853;74.52;111770;atleast
Bergisch Gladbach;51465;83.09;111645;atleast
Recklinghausen;45657;66.5;110714;about
Trier;54290;117.06;110570;about
Jena;7743;114.77;110502;about
Moers;47441;67.68;103725;about
Salzgitter;38226;224.49;103694;about
Siegen;57072;114.69;101516;about
Gütersloh;33330;112.02;101158;about
Hildesheim;31134;92.29;100319;about
Kaiserslautern;67657;139.7;99292;about
Hanau;63450;76.47;98502;about
Cottbus;3046;165.62;98359;about
Schwerin;19053;130.52;95740;about
Witten;58452;72.4;95107;about
Ludwigsburg;71638;43.34;93117;about
Esslingen;73728;46.43;92640;about
Tübingen;72070;108.06;91877;about
Iserlohn;58636;125.49;91873;about
Düren;52349;85.01;91814;about
Gera;7545;152.18;91368;about
Gießen;35390;72.61;91255;about
Flensburg;24937;56.73;91113;about
Zwickau;08056;102.58;86592;smaller
Villingen-Schwenningen;78050;165.53;86475;smaller
Ratingen;40878;88.74;86424;smaller
Lünen;44532;59.39;85721;smaller
Konstanz;78462;54.12;84736;smaller
Worms;67547;108.73;83850;smaller
Marl;45772;87.75;83697;smaller
Minden;32423;101.12;81857;smaller
Velbert;42551;74.9;81593;smaller
Norderstedt;22846;58.1;80420;smaller
Neumünster;24534;71.66;79496;smaller
Dessau-Roßlau;06844;245;78731;smaller
Bamberg;96031;54.62;77749;smaller
Viersen;41747;91.1;77523;smaller
Delmenhorst;27749;62.45;77522;smaller
Rheine;48431;145;76948;smaller
Marburg;35037;123.91;76571;smaller
Lüneburg;21335;70.5;75599;smaller
Gladbeck;45964;35.96;75343;smaller
Troisdorf;53840;62;75222;smaller
Wilhelmshaven;26382;107.11;75027;smaller
Dorsten;46284;171.29;74551;smaller
Detmold;32756;129.39;73969;smaller
Bayreuth;95410;66.89;73909;smaller
Arnsberg;59759;193.72;73423;smaller
Landshut;84028;65.83;73150;smaller
Castrop-Rauxel;44575;51.68;73078;smaller
Brandenburg an der Havel;14770;229.72;72461;smaller
Aschaffenburg;63701;62.45;71381;smaller
Lüdenscheid;58507;87.02;71230;smaller
Bocholt;46395;119.4;71074;smaller
Celle;29221;176.02;69279;smaller
Kempten (Allgäu);87435;63.28;69053;smaller
Fulda;36037;104.05;68462;smaller
Aalen;73430;146.58;68351;smaller
Lippstadt;59555;113.68;68007;smaller
Dinslaken;46535;47.66;67114;smaller
Herford;32052;79.15;66551;smaller
Kerpen;50171;113.96;66294;smaller
Rüsselsheim am Main;65428;58.29;66125;smaller
Weimar;99423;84.48;65138;smaller
Neuwied;56564;86.5;65137;smaller
Dormagen;41539;85.5;64553;smaller
Sindelfingen;71063;50.83;64151;smaller
Grevenbroich;41515;102.42;63922;smaller
Rosenheim;83013;37.22;63508;smaller
Plauen;08523;102.11;63372;smaller
Neubrandenburg;17033;86.12;63043;smaller
Herten;45699;37.33;61910;smaller
Bergheim;50126;96.34;61807;smaller
Friedrichshafen;88045;69.93;61561;smaller
Schwäbisch Gmünd;73525;113.81;61333;smaller
Offenburg;77652;78.37;60857;smaller
Garbsen;30823;79.5;60711;smaller
Wesel;46483;122.56;60688;smaller
Hürth;50354;51.22;60034;smaller
Neu-Ulm;89210;80.95;59814;smaller
Greifswald;17489;50.81;59332;smaller
Langenfeld (Rheinland);40764;41.15;59223;smaller
Stralsund;18439;54.59;59171;smaller
Unna;59423;88.56;58911;smaller
Euskirchen;53879;139.49;58754;smaller
Göppingen;73033;59.21;58061;smaller
Hameln;31785;102.53;57394;smaller
Meerbusch;40670;64.4;56855;smaller
Frankfurt (Oder);15230;147.85;56679;smaller
Stolberg (Rhld.);52222;98.48;56103;smaller
Eschweiler;52249;75.75;55784;smaller
Lingen (Ems);49808;176.19;55599;smaller
Sankt Augustin;53757;34.22;55563;smaller
Baden-Baden;76530;140.19;55527;smaller
Waiblingen;71332;42.75;55526;smaller
Görlitz;02826;67.53;55519;smaller
Hilden;40721;25.95;55182;smaller
Pulheim;50259;72.15;54805;smaller
Langenhagen;30853;71.97;54712;smaller
Nordhorn;48529;149.87;54162;smaller
Bad Homburg v. d. Höhe;61343;51.14;54144;smaller
Bad Salzuflen;32105;100.05;54074;smaller
Hattingen;45525;71.66;54061;smaller
Schweinfurt;97420;35.7;53585;smaller
Neustadt an der Weinstraße;67433;117.09;53491;smaller
Passau;94030;69.56;53093;smaller
Wetzlar;35578;75.65;52969;smaller
Ahlen;59227;123.13;52627;smaller
Kleve;47533;97.76;52470;smaller
Frechen;50226;45.06;52155;smaller
Menden (Sauerland);58706;86.1;52096;smaller
Wolfenbüttel;38300;78.73;51986;smaller
Ibbenbüren;49477;108.87;51888;smaller
Bad Kreuznach;55545;55.56;51695;smaller
Gummersbach;51643;95.41;51126;smaller
Ravensburg;88212;92.05;50928;smaller
Speyer;67346;42.71;50565;smaller
Böblingen;71032;39.04;50470;smaller
Peine;31224;119.84;50461;smaller
Rastatt;76437;58.98;50441;smaller
Elmshorn;25335;21.36;50141;smaller
Willich;47877;67.8;50133;smaller
Goslar;38640;163.88;50010;smaller
Erftstadt;50374;119.89;49667;smaller
Emden;26721;112.34;49523;smaller
Lörrach;79539;39.37;49318;smaller
Heidenheim an der Brenz;89522;107.09;49129;smaller
Gronau (Westf.);48599;78.82;49031;smaller
Leonberg;71229;48.73;48931;smaller
Bad Oeynhausen;32545;64.83;48803;smaller
Frankenthal (Pfalz);67227;43.88;48773;smaller
Rheda-Wiedenbrück;33378;86.72;48714;smaller
Bergkamen;59192;44.9;48669;smaller
